empresa,uds_id,hsstart,hsstop,datai,dataf,sentido,linha,carro,qtpsg,valor_jornada,nao_sei
1,6221081,05:27:06,06:07:53,01/01/2024,01/01/2024,0,5802,20119,8,32,
1,6221081,05:27:06,06:07:53,01/01/2024,01/01/2024,0,5802,20119,1,0,
1,6221081,05:27:06,06:07:53,01/01/2024,01/01/2024,0,5802,20119,3,0,
1,6221081,05:27:06,06:07:53,01/01/2024,01/01/2024,0,5802,20119,2,8,
1,6221081,05:27:06,06:07:53,01/01/2024,01/01/2024,0,5802,20119,3,12,75.0
1,6221081,06:07:58,06:39:02,01/01/2024,01/01/2024,1,5802,20119,2,8,
1,6221081,06:42:50,07:26:34,01/01/2024,01/01/2024,0,5802,20119,2,8,5.0
1,6221081,06:42:50,07:26:34,01/01/2024,01/01/2024,0,5802,20119,1,0,
1,6221081,06:42:50,07:26:34,01/01/2024,01/01/2024,0,5802,20119,8,32,
1,6221081,06:42:50,07:26:34,01/01/2024,01/01/2024,0,5802,20119,4,0,
1,6221081,06:42:50,07:26:34,01/01/2024,01/01/2024,0,5802,20119,1,0,
1,6221081,06:42:50,07:26:34,01/01/2024,01/01/2024,0,5802,20119,4,16,
1,6221081,07:26:37,07:59:16,01/01/2024,01/01/2024,1,5802,20119,1,4,25.0
1,6221081,07:26:37,07:59:16,01/01/2024,01/01/2024,1,5802,20119,2,0,
1,6221081,07:26:37,07:59:16,01/01/2024,01/01/2024,1,5802,20119,2,8,
1,6221081,07:59:19,08:40:43,01/01/2024,01/01/2024,0,5802,20119,5,0,
1,6221081,07:59:19,08:40:43,01/01/2024,01/01/2024,0,5802,20119,5,20,
1,6221081,07:59:19,08:40:43,01/01/2024,01/01/2024,0,5802,20119,1,0,
1,6221081,07:59:19,08:40:43,01/01/2024,01/01/2024,0,5802,20119,3,12,75.0
1,6221081,08:43:46,09:21:16,01/01/2024,01/01/2024,1,5802,20119,1,0,
1,6221081,08:43:46,09:21:16,01/01/2024,01/01/2024,1,5802,20119,1,4,
1,6221081,08:43:46,09:21:16,01/01/2024,01/01/2024,1,5802,20119,2,0,
1,6221081,08:43:46,09:21:16,01/01/2024,01/01/2024,1,5802,20119,2,8,5.0
1,6221081,08:43:46,09:21:16,01/01/2024,01/01/2024,1,5802,20119,6,0,
1,6221081,09:22:39,10:03:41,01/01/2024,01/01/2024,0,5802,20119,3,0,
1,6221081,09:22:39,10:03:41,01/01/2024,01/01/2024,0,5802,20119,1,4,25.0
1,6221081,09:22:39,10:03:41,01/01/2024,01/01/2024,0,5802,20119,1,4,
